colour	y	x	group	key	showSelected1	showSelected2	PANEL
#66C2A5	1.31151523067384	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 32	1
#66C2A5	1.21881319251479	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 33	1
#66C2A5	1.34782572541659	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 85	1
#66C2A5	1.16844644656168	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 77	1
#66C2A5	1.15245376498768	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 4	1
#66C2A5	1.3404871044067	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 34	1
#66C2A5	1.28105626115738	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 28	1
#66C2A5	1.25360510833361	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 78	1
#66C2A5	1.25595544445926	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 35	1
#66C2A5	1.25496544351838	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 5	1
#66C2A5	1.25392655037842	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 36	1
#66C2A5	1.29729641330798	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 6	1
#66C2A5	1.08421513192192	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 37	1
#66C2A5	1.40835298517871	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 91	1
#66C2A5	1.35299531921134	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 38	1
#66C2A5	1.18279428337832	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 39	1
#66C2A5	1.22949411724159	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 7	1
#66C2A5	1.31394591231321	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 92	1
#66C2A5	1.20200913968738	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 79	1
#66C2A5	1.33947501999398	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 98	1
#66C2A5	1.28484804414781	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 40	1
#66C2A5	1.26728923053124	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 97	1
#66C2A5	1.33676613864078	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 71	1
#66C2A5	1.20471297256602	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 8	1
#66C2A5	1.31853556680794	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 41	1
#66C2A5	1.1717721664846	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 9	1
#66C2A5	1.36678014698836	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 42	1
#66C2A5	1.14319602712785	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 89	1
#66C2A5	1.14605936563646	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 29	1
#66C2A5	1.36779506671666	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 43	1
#66C2A5	1.20673725727299	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 44	1
#66C2A5	1.33395502318945	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 72	1
#66C2A5	1.16031264039642	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 95	1
#66C2A5	1.35401822357697	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 73	1
#66C2A5	1.22145875590323	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 10	1
#66C2A5	1.30722716094313	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 45	1
#66C2A5	1.26978388722685	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 46	1
#66C2A5	1.24740035131209	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 11	1
#66C2A5	1.19123818834533	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 30	1
#66C2A5	1.32394097932424	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 47	1
#66C2A5	1.12921246749596	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 48	1
#66C2A5	1.37562070123923	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 49	1
#66C2A5	1.26284851631134	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 80	1
#66C2A5	1.2736777603799	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 50	1
#66C2A5	1.29698969417502	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 51	1
#66C2A5	1.18964565504472	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 12	1
#66C2A5	1.31617847957483	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 52	1
#66C2A5	1.22178042768003	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 13	1
#66C2A5	1.30741783407541	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 14	1
#66C2A5	1.23162829389419	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 31	1
#66C2A5	1.33129291123679	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 15	1
#66C2A5	1.21302815081831	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 74	1
#66C2A5	1.27055560479069	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 81	1
