group	fill	y	showSelected3
1	transparent	1.32938875763884	autre
2	transparent	0.868305122782375	autre
3	transparent	0.526294391363441	autre
4	transparent	0.359844970452492	autre
5	transparent	-0.706650789346615	autre
6	transparent	-0.899588756802401	autre
7	transparent	-1.07535803490446	autre
8	transparent	-1.14941836260962	autre
9	transparent	-1.29190839932167	autre
10	transparent	-1.36527254244945	autre
11	transparent	-1.45137114085088	autre
12	transparent	-1.55342117228313	autre
13	transparent	-1.71488379042853	autre
14	transparent	-1.77782734328189	autre
15	transparent	-1.94425915361239	autre
16	transparent	-2.04367505423403	autre
17	transparent	-2.37539893343022	autre
18	transparent	-2.53961998489298	autre
19	transparent	-2.77370836797004	autre
20	transparent	-2.95215448851489	autre
21	transparent	-3.25096417808615	autre
22	transparent	-3.46556294794058	autre
23	transparent	-3.85843221364339	autre
24	transparent	-4.19814761257387	autre
25	#000000	-7.23079567450539	minimum
26	transparent	1.25862145877434	autre
27	transparent	0.905079504822179	autre
28	transparent	0.832096603258293	autre
29	#000000	0.7389444317358	minimum
30	transparent	0.859228604032306	autre
31	transparent	0.871846615807968	autre
32	transparent	0.876715967913465	autre
33	transparent	0.871031350497414	autre
34	transparent	0.895492495407113	autre
35	transparent	0.895801509363579	autre
36	transparent	0.895263692377674	autre
37	transparent	0.895348294705239	autre
38	transparent	0.895812778810265	autre
39	transparent	0.89225012706649	autre
40	transparent	0.899467118207042	autre
41	transparent	0.897556376489818	autre
42	transparent	0.90195885070506	autre
43	transparent	0.897060910703928	autre
44	transparent	0.897146987459093	autre
45	transparent	0.892032238408935	autre
46	transparent	0.887710917245122	autre
47	transparent	0.8878892607115	autre
48	transparent	0.88771499198302	autre
49	transparent	0.88771499198302	autre
50	transparent	0.887630070063773	autre
