colour	x	key	showSelected2	PANEL	group
#66C2A5	1	1	sous-entraînement	1	1
#66C2A5	2	2	sous-entraînement	1	2
#66C2A5	3	3	sous-entraînement	1	3
#66C2A5	4	4	sous-entraînement	1	4
#66C2A5	5	5	sous-entraînement	1	5
#66C2A5	6	6	sous-entraînement	1	6
#66C2A5	7	7	sous-entraînement	1	7
#66C2A5	8	8	sous-entraînement	1	8
#66C2A5	9	9	sous-entraînement	1	9
#66C2A5	10	10	sous-entraînement	1	10
#66C2A5	11	11	sous-entraînement	1	11
#66C2A5	12	12	sous-entraînement	1	12
#66C2A5	13	13	sous-entraînement	1	13
#66C2A5	14	14	sous-entraînement	1	14
#66C2A5	15	15	sous-entraînement	1	15
#66C2A5	16	16	sous-entraînement	1	16
#66C2A5	17	17	sous-entraînement	1	17
#66C2A5	18	18	sous-entraînement	1	18
#66C2A5	19	19	sous-entraînement	1	19
#66C2A5	20	20	sous-entraînement	1	20
#66C2A5	21	21	sous-entraînement	1	21
#66C2A5	22	22	sous-entraînement	1	22
#66C2A5	23	23	sous-entraînement	1	23
#66C2A5	24	24	sous-entraînement	1	24
#66C2A5	25	25	sous-entraînement	1	25
#FC8D62	1	1	validation	2	26
#FC8D62	2	2	validation	2	27
#FC8D62	3	3	validation	2	28
#FC8D62	4	4	validation	2	29
#FC8D62	5	5	validation	2	30
#FC8D62	6	6	validation	2	31
#FC8D62	7	7	validation	2	32
#FC8D62	8	8	validation	2	33
#FC8D62	9	9	validation	2	34
#FC8D62	10	10	validation	2	35
#FC8D62	11	11	validation	2	36
#FC8D62	12	12	validation	2	37
#FC8D62	13	13	validation	2	38
#FC8D62	14	14	validation	2	39
#FC8D62	15	15	validation	2	40
#FC8D62	16	16	validation	2	41
#FC8D62	17	17	validation	2	42
#FC8D62	18	18	validation	2	43
#FC8D62	19	19	validation	2	44
#FC8D62	20	20	validation	2	45
#FC8D62	21	21	validation	2	46
#FC8D62	22	22	validation	2	47
#FC8D62	23	23	validation	2	48
#FC8D62	24	24	validation	2	49
#FC8D62	25	25	validation	2	50
