group	colour	yend	showSelected1
1	#66C2A5	-0.689099191816566	sous-entraînement
2	#66C2A5	-0.608089478320124	sous-entraînement
3	#FC8D62	-0.608089478320124	validation
4	#66C2A5	-0.466925730528553	sous-entraînement
5	#66C2A5	-0.573062186895104	sous-entraînement
6	#FC8D62	-0.573062186895104	validation
7	#FC8D62	-0.573062186895104	validation
8	#66C2A5	-0.573062186895104	sous-entraînement
9	#FC8D62	-0.573062186895104	validation
10	#66C2A5	-0.656992649457968	sous-entraînement
11	#66C2A5	0.334821441067167	sous-entraînement
12	#FC8D62	0.334821441067167	validation
13	#FC8D62	0.334821441067167	validation
14	#FC8D62	0.334821441067167	validation
15	#FC8D62	0.334821441067167	validation
16	#FC8D62	0.254399450037862	validation
17	#FC8D62	0.254399450037862	validation
18	#FC8D62	0.254399450037862	validation
19	#66C2A5	0.254399450037862	sous-entraînement
20	#66C2A5	0.254399450037862	sous-entraînement
21	#66C2A5	-0.758263965068914	sous-entraînement
22	#66C2A5	-0.758263965068914	sous-entraînement
23	#FC8D62	-0.758263965068914	validation
24	#FC8D62	-0.758263965068914	validation
25	#66C2A5	-0.758263965068914	sous-entraînement
26	#FC8D62	-0.758263965068914	validation
27	#66C2A5	-0.842828745797189	sous-entraînement
28	#FC8D62	-0.842828745797189	validation
29	#66C2A5	-0.842828745797189	sous-entraînement
30	#66C2A5	-0.842828745797189	sous-entraînement
31	#66C2A5	1.7311487572907	sous-entraînement
32	#66C2A5	1.5874511637415	sous-entraînement
33	#FC8D62	1.5874511637415	validation
34	#66C2A5	1.5874511637415	sous-entraînement
35	#66C2A5	1.45757484645493	sous-entraînement
36	#66C2A5	1.55378134580782	sous-entraînement
37	#FC8D62	1.55378134580782	validation
38	#FC8D62	1.68844085815986	validation
39	#66C2A5	1.68844085815986	sous-entraînement
40	#66C2A5	1.68844085815986	sous-entraînement
41	#FC8D62	1.68844085815986	validation
42	#66C2A5	0.30417160380171	sous-entraînement
43	#FC8D62	0.30417160380171	validation
44	#66C2A5	0.395767577974814	sous-entraînement
45	#FC8D62	0.395767577974814	validation
46	#FC8D62	0.395767577974814	validation
47	#FC8D62	0.395767577974814	validation
48	#66C2A5	0.395767577974814	sous-entraînement
49	#FC8D62	0.395767577974814	validation
50	#FC8D62	0.395767577974814	validation
